Date,Depth_m,Hole_Size_in,ROP_m_hr,WOB_klbs,RPM,Torque_ft_lb,Flow_GPM,SPP_PSI,Diff_PSI,Temp_Out_C,MSE_PSI,Vibration_g,Stuck_Severity,Phase_Status
2023-04-01 00:00:00,1001.1970445160302,17.5,14.364534192363049,24.950409167029587,112.75683357603181,8918.397858883043,720.7543172606476,1911.6723908437739,317.1822796117297,49.46823967893918,33556.2998264715,0.9766955750939672,0.0,Normal
2023-04-01 00:05:00,1002.2875775206036,17.5,13.086396054879216,24.701757019767467,109.66438891050707,8677.627022132016,714.5306673174055,1935.3555876358819,315.70297490273634,50.518214500204834,34851.34013937314,0.9136693351301699,0.0,Normal
2023-04-01 00:10:00,1003.3462531415984,17.5,12.704107451938444,24.699232677760673,106.86304886783729,8703.699706200989,715.4297805150599,1918.4866306095817,301.5562544405203,49.26932009989519,35087.42317518632,0.9011905497602454,0.0,Normal
2023-04-01 00:15:00,1004.3243102106471,17.5,11.736684828585217,24.706925736881715,107.72619838280869,9179.245703507804,720.324344945445,1939.1866268053282,333.8560188167039,49.63487032475045,40362.7576785479,0.9724511581447098,0.0,Normal
2023-04-01 00:20:00,1005.1299040744284,17.5,9.667126365375228,24.589236182215444,110.35215857786277,8624.208408075856,711.5831589990063,1894.999841530387,315.78137130523356,49.93429176060215,47145.11824895022,0.9569808628975193,0.0,Normal
2023-04-01 00:25:00,1006.2318757181002,17.5,13.223659724061179,24.751510797614486,112.06555150511684,8782.38979054956,725.2890515261037,1973.032162767731,302.8760168409377,50.22633319227487,35668.040706446845,0.9529994899477812,0.0,Normal
2023-04-01 00:30:00,1007.2374444496859,17.5,12.06682477902872,24.830645710693823,113.53955426525073,8621.074715315099,711.6546911741136,1951.483765230871,299.727915991475,51.35264941231619,38865.296888751924,0.9459478932501089,0.0,Normal
2023-04-01 00:35:00,1008.2970858000382,17.5,12.715696204226944,24.724012083701677,110.25643745718659,8739.162563933713,719.0942671027866,1930.9431717345792,319.75625637712545,49.806358212941326,36312.49049118604,0.9248514140186201,0.0,Normal
2023-04-01 00:40:00,1009.3605131416824,17.5,12.761128099730582,24.826317121048692,107.64551250501084,8729.334010004668,717.3852485639683,1947.9979773737002,304.00752125118834,50.65815758814757,35289.97504015393,0.9023289658439102,0.0,Normal
2023-04-01 00:45:00,1010.4902757941105,17.5,13.557151829137474,24.779761722179988,110.5569701610895,8761.832843645048,716.9997114944734,1944.6875222785748,326.00132095027385,50.09973885244794,34246.199182728364,0.9602986472954986,0.0,Normal
